Gene,Rep,Temp.hot,Mom.is.SD,N.off.SD,N.off.total
207,1,0,0,10,29
207,2,0,0,102,200
207,1,0,1,25,51
207,2,0,1,91,183
208,1,0,0,374,970
208,2,0,0,825,2064
208,1,0,1,814,2033
208,2,0,1,671,1516
209,1,0,0,59,152
209,2,0,0,353,775
209,1,0,1,114,250
209,2,0,1,339,707
210,1,0,0,56,96
210,2,0,0,209,457
210,1,0,1,81,169
210,2,0,1,219,422
211,1,0,0,137,233
211,2,0,0,676,1336
211,1,0,1,209,435
211,2,0,1,851,1587
212,1,0,0,74,171
212,2,0,0,229,619
212,1,0,1,109,270
212,2,0,1,286,709
213,1,0,0,180,305
213,2,0,0,176,407
213,1,0,1,213,418
213,2,0,1,182,332
214,1,0,0,162,318
214,2,0,0,671,1418
214,1,0,1,210,402
214,2,0,1,776,1508
215,1,0,0,120,230
215,2,0,0,721,1556
215,1,0,1,254,532
215,2,0,1,885,1707
216,1,0,0,229,482
216,2,0,0,1191,2810
216,1,0,1,385,822
216,2,0,1,1383,2718
217,1,0,0,46,90
217,2,0,0,304,651
217,1,0,1,133,219
217,2,0,1,382,728
218,1,0,0,101,132
218,2,0,0,403,576
218,1,0,1,212,285
218,2,0,1,353,477
219,1,0,0,99,174
219,2,0,0,202,572
219,1,0,1,114,208
219,2,0,1,290,731
220,1,0,0,21,43
220,2,0,0,225,414
220,1,0,1,65,116
220,2,0,1,289,512
221,1,0,0,112,235
221,2,0,0,531,981
221,1,0,1,265,512
221,2,0,1,597,1161
222,1,0,0,13,39
222,2,0,0,87,140
222,1,0,1,30,54
222,2,0,1,68,138
223,1,0,0,98,245
223,2,0,0,468,1146
223,1,0,1,155,332
223,2,0,1,480,1127
224,1,0,0,48,85
224,2,0,0,523,993
224,1,0,1,136,251
224,2,0,1,644,1186
225,1,0,0,80,178
225,2,0,0,488,1131
225,1,0,1,103,257
225,2,0,1,536,1238
226,1,0,0,51,71
226,2,0,0,100,161
226,1,0,1,100,154
226,2,0,1,111,147
227,1,0,0,134,255
227,2,0,0,448,1113
227,1,0,1,256,446
227,2,0,1,521,1145
228,1,0,0,27,65
228,2,0,0,126,431
228,1,0,1,21,69
228,2,0,1,120,412
229,1,0,0,60,125
229,2,0,0,217,425
229,1,0,1,85,157
229,2,0,1,190,368
230,1,0,0,88,142
230,2,0,0,238,429
230,1,0,1,182,323
230,2,0,1,309,543
231,1,0,0,26,44
231,2,0,0,74,169
231,1,0,1,33,65
231,2,0,1,94,177
232,1,0,0,207,359
232,2,0,0,685,1072
232,1,0,1,276,445
232,2,0,1,662,1040
233,1,0,0,15,34
233,2,0,0,67,182
233,1,0,1,20,36
233,2,0,1,62,156
234,1,0,0,189,401
234,2,0,0,755,1671
234,1,0,1,343,779
234,2,0,1,852,1754
235,1,0,0,48,92
235,2,0,0,502,845
235,1,0,1,178,278
235,2,0,1,520,839
236,1,0,0,24,52
236,2,0,0,156,321
236,1,0,1,33,68
236,2,0,1,194,311
237,1,0,0,119,231
237,2,0,0,745,1365
237,1,0,1,215,447
237,2,0,1,546,1063
238,1,0,0,15,33
238,2,0,0,86,158
238,1,0,1,28,62
238,2,0,1,74,148
239,1,0,0,23,42
239,2,0,0,112,211
239,1,0,1,26,43
239,2,0,1,129,237
240,1,0,0,182,324
240,2,0,0,755,1280
240,1,0,1,261,437
240,2,0,1,878,1386
241,1,0,0,88,153
241,2,0,0,804,1478
241,1,0,1,185,351
241,2,0,1,1067,1947
242,1,0,0,14,28
242,2,0,0,18,46
242,1,0,1,26,38
242,2,0,1,31,57
243,1,0,0,53,105
243,2,0,0,273,535
243,1,0,1,110,213
243,2,0,1,315,578
244,1,0,0,62,104
244,2,0,0,312,575
244,1,0,1,103,163
244,2,0,1,297,543
245,1,0,0,509,1036
245,2,0,0,1703,3773
245,1,0,1,626,1314
245,2,0,1,1676,3550
246,1,0,0,185,390
246,2,0,0,588,1413
246,1,0,1,307,684
246,2,0,1,705,1599
247,1,0,0,63,150
247,2,0,0,305,828
247,1,0,1,107,279
247,2,0,1,454,972
248,1,0,0,110,223
248,2,0,0,623,1301
248,1,0,1,172,385
248,2,0,1,663,1341
249,1,0,0,48,116
249,2,0,0,354,799
249,1,0,1,116,197
249,2,0,1,300,673
250,1,0,0,290,543
250,2,0,0,448,1244
250,1,0,1,457,848
250,2,0,1,514,1162
251,1,0,0,43,79
251,2,0,0,123,270
251,1,0,1,59,118
251,2,0,1,123,251
252,1,0,0,1120,2576
252,2,0,0,4558,10845
252,1,0,1,2200,4905
252,2,0,1,3951,9153
253,1,0,0,186,332
253,2,0,0,540,1074
253,1,0,1,334,655
253,2,0,1,491,925
254,1,0,0,42,92
254,2,0,0,157,329
254,1,0,1,46,91
254,2,0,1,160,343
255,1,0,0,33,67
255,2,0,0,276,603
255,1,0,1,80,197
255,2,0,1,336,655
256,1,0,0,19,39
256,2,0,0,135,255
256,1,0,1,31,95
256,2,0,1,134,249
257,1,0,0,706,1258
257,2,0,0,3258,6201
257,1,0,1,1554,2733
257,2,0,1,3457,6188
258,1,0,0,342,848
258,2,0,0,1979,4252
258,1,0,1,538,1201
258,2,0,1,1657,3919
259,1,0,0,127,186
259,2,0,0,865,1237
259,1,0,1,182,251
259,2,0,1,711,1016
260,1,0,0,167,279
260,2,0,0,715,1274
260,1,0,1,285,425
260,2,0,1,872,1460
261,1,0,0,50,108
261,2,0,0,472,1020
261,1,0,1,108,242
261,2,0,1,512,1065
262,1,0,0,175,423
262,2,0,0,1036,2100
262,1,0,1,282,622
262,2,0,1,991,1970
263,1,0,0,102,209
263,2,0,0,413,1006
263,1,0,1,191,415
263,2,0,1,562,1175
264,1,0,0,116,204
264,2,0,0,395,865
264,1,0,1,125,258
264,2,0,1,439,864
265,1,0,0,40,95
265,2,0,0,255,591
265,1,0,1,74,144
265,2,0,1,286,525
266,1,0,0,59,118
266,2,0,0,264,624
266,1,0,1,137,314
266,2,0,1,353,702
267,1,0,0,87,152
267,2,0,0,353,754
267,1,0,1,132,260
267,2,0,1,363,693
268,1,0,0,50,76
268,2,0,0,220,362
268,1,0,1,67,110
268,2,0,1,209,350
269,1,0,0,469,812
269,2,0,0,2900,5237
269,1,0,1,745,1238
269,2,0,1,2327,4051
270,1,0,0,87,161
270,2,0,0,376,707
270,1,0,1,160,299
270,2,0,1,539,912
271,1,0,0,5,19
271,2,0,0,40,103
271,1,0,1,10,24
271,2,0,1,51,117
272,1,0,0,67,154
272,2,0,0,243,530
272,1,0,1,122,260
272,2,0,1,250,520
273,1,0,0,185,469
273,2,0,0,947,2148
273,1,0,1,248,563
273,2,0,1,985,2108
274,1,0,0,543,1123
274,2,0,0,1423,3196
274,1,0,1,996,2063
274,2,0,1,1294,2763
275,1,0,0,45,88
275,2,0,0,239,531
275,1,0,1,99,209
275,2,0,1,217,522
276,1,0,0,181,412
276,2,0,0,874,2027
276,1,0,1,369,785
276,2,0,1,893,1984
277,1,0,0,83,135
277,2,0,0,340,629
277,1,0,1,104,202
277,2,0,1,420,742
278,1,0,0,54,103
278,2,0,0,561,880
278,1,0,1,148,225
278,2,0,1,471,755
279,1,0,0,93,171
279,2,0,0,525,995
